"","Sku","Sal","Str","Std","Spd","Sda","Smr1","Sds","Sbi","Svi","Smean","SWt","Stdi","Maximumdepth","Meandensity"
"109",5.853155132,2.918565842,0.693818839,8.260994518,0.00929721,107.5249115,11.37259589,0.02049385,0.7298464,0.188320176,-0.015592411,0.043032799,0.674975736,0.569057984,1207.616562
"110",5.336839518,3.219844326,0.755083217,2.761143866,0.008772367,111.5501976,10.40445183,0.019919022,0.849732067,0.191520146,-0.019806727,0.034777799,0.740935875,0.540055485,1211.880293
"111",4.968603596,3.091179118,0.724252543,7.491615421,0.009072277,108.9753776,9.490326792,0.020568827,0.805068416,0.181705808,-0.020691808,0.032211999,0.660301868,0.603423983,1207.505567
"112",5.770046911,3.088179116,0.711810961,171.5028888,0.008172547,114.1851842,11.01339389,0.021118662,0.748616154,0.188748301,-0.020202148,0.036142999,0.641342962,0.646124982,1210.826767
"113",6.497522559,3.076191921,0.608100107,177.4931398,0.007247825,109.1646839,18.53648709,0.017344795,0.415662843,0.092556783,0.018867183,0.050070999,0.65267082,0.525838819,1159.133546
"114",6.03551563,3.244935503,0.708044985,164.0018018,0.007747675,93.60382452,15.43755291,0.019319202,0.436862813,0.096434637,0.015244239,0.026246399,0.675041846,0.411350488,1184.580177
"115",6.508570959,3.245058664,0.723633898,162.9971926,0.008272517,125.1166348,10.28470449,0.019269217,0.669817773,0.197607612,-0.017748524,0.043730999,0.696600003,0.598366983,1199.997213
"116",5.252583301,3.004401701,0.737893235,176.9987183,0.00919724,108.0576287,10.21693243,0.02129361,0.745242329,0.186751924,-0.01541224,0.035466299,0.788792498,0.468554987,1208.621098
"117",6.919499362,3.44137093,0.716942231,170.5027913,0.00989703,98.87880915,10.54293415,0.020643805,1.062697069,0.196580461,-0.013422035,0.038796899,0.673615991,0.390974989,1204.698272
"118",6.833913421,3.094240484,0.656973828,168.7561445,0.0089973,112.6505469,11.43794906,0.020668797,0.697685735,0.19673866,-0.016956262,0.042937399,0.711495765,0.561814234,1216.138863
"119",5.996781877,3.300986513,0.772955351,166.5006947,0.008922322,106.1703526,9.170187512,0.019044285,1.167604451,0.192475624,-0.01663637,0.032269699,0.651572405,0.537760985,1220.421102
"120",6.009789398,3.199081748,0.713336725,3.250407746,0.008147555,112.9984187,10.39013994,0.020518842,0.726247902,0.18713489,-0.017877213,0.044640299,0.656903201,0.633905982,1228.411786
"121",6.877312878,3.116729018,0.539665409,3.494001835,0.007322802,128.440378,11.34735808,0.018519442,0.745237685,0.197968465,-0.016649278,0.047992999,0.614443181,0.624885982,1206.486818
"122",7.351486364,3.097645995,0.600194845,173.741858,0.008672397,117.3990579,11.02467087,0.019419172,1.07200798,0.196036844,-0.012824158,0.034305699,0.64988514,0.510658986,1229.544742
"123",6.366756087,3.033674244,0.640462326,11.00311951,0.008722382,111.8655464,11.23982011,0.020343895,0.719155771,0.195256523,-0.011925712,0.038732599,0.681846896,0.469037987,1212.505347
"124",6.280757616,3.180842081,0.667951434,163.5077477,0.008822352,106.9451935,9.793294585,0.020918722,0.873637696,0.201304265,-0.01618479,0.034756599,0.720931883,0.478210987,1213.562679
"125",5.398805203,3.114701129,0.649883755,3.24066923,0.008772367,120.1381793,9.690041632,0.020518842,0.76396072,0.190013726,-0.019170161,0.035123999,0.627106875,0.555828984,1217.14174
"126",6.319490357,3.020152717,0.596946231,171.492128,0.008322502,122.2327317,10.5167788,0.020543835,0.749897128,0.198716878,-0.016845143,0.035814499,0.625591078,0.572168984,1193.495818
"127",6.882795877,2.999700417,0.589569752,3.488157039,0.007272817,105.8444115,17.49696181,0.018219532,0.392444003,0.088660384,0.019133045,0.059776998,0.604620263,0.552139984,1157.04075
"128",6.681478654,3.149395658,0.654757802,14.00310805,0.00819754,105.8456663,14.95595798,0.018469457,0.391295913,0.096378223,0.012606477,0.034277899,0.700292949,0.461920987,1172.117721
"129",5.814673046,3.257579122,0.730339928,163.2449524,0.008722382,123.5759126,10.79615357,0.01979406,0.697504634,0.194664317,-0.015647733,0.043064999,0.630409647,0.530046985,1234.57528
"130",6.945069453,3.296054215,0.780681172,8.509453904,0.008372487,112.2518011,10.58760448,0.02019394,0.877328017,0.199306609,-0.018129853,0.037991999,0.774064368,0.617286983,1238.231252
"131",7.668252003,3.170228432,0.634288357,176.9904393,0.00819754,103.7573832,11.48290604,0.019069277,1.069327621,0.193428779,-0.01083801,0.035306899,0.603530179,0.421212655,1198.703698
"132",7.403401065,3.193147612,0.637597308,31.75608765,0.007347795,117.9297736,11.2396248,0.01889433,0.813247681,0.208368298,-0.01731852,0.046117799,0.737943139,0.526199985,1187.826011
"133",6.524402298,3.322748034,0.680200628,166.2569387,0.008422472,123.7147565,10.59834054,0.019419172,1.059537231,0.196062794,-0.014675972,0.042505999,0.603960588,0.502954986,1204.625983
"134",6.279488809,3.491104283,0.72040723,171.2485807,0.008022592,120.3434587,11.64947111,0.020143955,0.637960506,0.198267386,-0.017381977,0.045369599,0.721003106,0.578512484,1191.013843
"135",6.35592769,3.019527482,0.465228705,174.2534883,0.007647705,125.9621257,12.38520701,0.018319502,0.783316699,0.193785284,-0.014567165,0.042875399,0.617611673,0.507376986,1201.320726
"136",6.395947257,2.864657094,0.444121987,171.4866297,0.008722382,111.6480439,10.7415632,0.017669697,0.86323038,0.174707755,-0.00970652,0.032494499,0.561176576,0.505625319,1235.98327
"137",5.845988798,2.916322303,0.546467931,163.4939312,0.009147255,101.9841023,12.44408768,0.020118962,0.751548514,0.182894714,-0.009560954,0.032984899,0.677896848,0.461248987,1211.548182
"138",6.738317538,3.120532192,0.65420144,163.5029175,0.008872337,113.2385246,10.68102721,0.020468857,0.847442489,0.198267896,-0.015886772,0.038491599,0.589331061,0.527945985,1222.459424
"139",5.660592145,3.190303395,0.652524771,173.9925398,0.008572427,108.1867683,10.60702366,0.019644105,0.920209605,0.196922478,-0.020053911,0.040396999,0.699227701,0.538076385,1218.756776
"140",6.337048719,3.03456376,0.567361635,167.7460189,0.007947615,114.9880924,10.84579397,0.020168947,0.693249568,0.196354487,-0.016286066,0.035221199,0.595507441,0.610383983,1212.89622
