"TOOL","N_subareas","HOURS_mean","HOURS_median","HOURS_sd","HOURS_mad","STEMS_mean","STEMS_median","STEMS_sd","STEMS_mad","GRAIN_G_PER_STEM","GRAIN_G_mean","GRAIN_G_median","GRAIN_KG_mean","GRAIN_KG_median","GRAIN_KG_sd","GRAIN_KG_mad"
"UW23",16,16.87144375,16.9425,7.78089922936854,10.16020838,64069.307640625,64339.14375,29547.964823527,38583.39132305,0.3,19220.7922921875,19301.743125,19.2207922921875,19.301743125,8.86438944705811,11.575017396915
"UW24",12,11.444975,9.06981666666667,4.49315294054141,3.4739789,43462.2925625,34442.6287916667,17062.748291706,13192.43487275,0.3,13038.68776875,10332.7886375,13.03868776875,10.3327886375,5.11882448751181,3.957730461825
"UW25",22,13.1360954545455,12.4859333333333,6.09426103160187,5.09586916999999,49884.3224886364,47415.3318333333,23142.9562675081,19351.563173075,0.3,14965.2967465909,14224.59955,14.9652967465909,14.22459955,6.94288688025244,5.80546895192249
"UW26",22,18.9551484848485,21.0075333333333,8.12915108644933,9.17974029,71982.1763712121,79776.1078333333,30870.4512507913,34860.063751275,0.3,21594.6529113636,23932.83235,21.5946529113636,23.93283235,9.2611353752374,10.4580191253825
"UW27",14,19.9301,17.7881333333333,6.40722784314848,7.94886106,75684.55475,67550.4363333333,24331.4477343564,30185.79987535,0.3,22705.366425,20265.1309,22.705366425,20.2651309,7.29943432030691,9.055739962605
"UW28",23,22.9805057971014,23.7293,4.18767140750532,4.03741632,87268.4707644927,90112.01675,15902.6821700015,15332.0884752,0.3,26180.5412293478,27033.605025,26.1805412293478,27.033605025,4.77080465100044,4.59962654256
"UW29",24,7.35813472222222,7.11986666666667,1.85909727809447,0.739001970000005,27942.5166076389,27037.6936666667,7059.92191356376,2806.35998107502,0.3,8382.75498229167,8111.3081,8.38275498229167,8.1113081,2.11797657406913,0.841907994322505
"UW3",24,24.4217666666667,24.2442833333334,3.3438557121201,3.48326986,92741.6589166667,92067.6659583334,12698.2920667761,13227.71729335,0.3,27822.497675,27620.2997875,27.822497675,27.6202997875,3.80948762003283,3.968315188005
"UW30",8,9.26375,7.37413333333333,5.84438101679928,0.835791039999999,35179.090625,28003.2713333333,22194.0369112953,3173.91647439999,0.3,10553.7271875,8400.9814,10.5537271875,8.4009814,6.65821107338858,0.952174942319998
"UW32",18,12.1709055555556,12.1344666666667,4.75720074728483,4.61869436,46219.0138472222,46080.6371666667,18065.4698378141,17539.4918321,0.3,13865.7041541667,13824.19115,13.8657041541667,13.82419115,5.41964095134424,5.26184754963
"UW33",11,21.0465909090909,23.4025,6.3444890225926,6.17858723999998,79924.4289772727,88870.99375,24093.1970632954,23463.1850438999,0.3,23977.3286931818,26661.298125,23.9773286931818,26.661298125,7.22795911898862,7.03895551316998
"UW34",16,15.9254666666667,14.8889,6.19884897709961,5.98446548,60476.9596666667,56540.59775,23540.1289905358,22726.0076603,0.3,18143.0879,16962.179325,18.1430879,16.962179325,7.06203869716073,6.81780229809
"UW35",14,12.4888238095238,8.69503333333333,7.29156876333897,2.89534482999999,47426.3084166667,33019.3890833333,27689.7323787797,10995.071991925,0.3,14227.892525,9905.816725,14.227892525,9.905816725,8.30691971363392,3.29852159757749
"UW36",20,9.311955,8.16445,5.70723109831929,2.82299394999999,35362.1491125,31004.498875,21673.2100958675,10720.319525125,0.3,10608.64473375,9301.3496625,10.60864473375,9.30134966249999,6.50196302876025,3.21609585753749
